stream,session_window_ist,phase_id,phase_label,n_total,n_valid,n_up,n_down,n_flat,pct_up,pct_down,pct_flat,mean_return_pct,median_return_pct,std_return_pct,low_confidence_flag
BRENT_session,mcx_tail,6.0,ceasefire_collapse_renewed_escalation,3,3,0,0,3,0.0,0.0,100.0,0.10979009228096037,0.31678702906647327,0.4519447849722386,True
BRENT_session,other_valid_hours,6.0,ceasefire_collapse_renewed_escalation,3,3,1,0,2,33.33333333333333,0.0,66.66666666666666,0.433718827044603,0.02632488559461433,1.0398610490866584,True
BRENT_session,us_open,6.0,ceasefire_collapse_renewed_escalation,6,6,0,3,3,0.0,50.0,50.0,-0.6427417038896195,-0.5013879434357554,0.5782808055752536,False
BRENT_session,us_pre_open,6.0,ceasefire_collapse_renewed_escalation,3,3,1,2,0,33.33333333333333,66.66666666666666,0.0,-0.24097914884277083,-1.1038941168831204,1.990459171163117,True
BRENT_session,europe_midday,7.0,sustained_major_reescalation_hormuz_war,10,10,4,3,3,40.0,30.0,30.0,0.11652919933184969,0.23878226568276956,0.7504568735504488,False
BRENT_session,global_reopen_pre_mcx,7.0,sustained_major_reescalation_hormuz_war,10,10,5,3,2,50.0,30.0,20.0,0.1785433867989753,0.22230166503726495,0.9488621698547064,False
BRENT_session,india_midday,7.0,sustained_major_reescalation_hormuz_war,10,10,3,5,2,30.0,50.0,20.0,-2.09217101097308,-0.7091181274923258,3.865512593733204,False
BRENT_session,india_morning,7.0,sustained_major_reescalation_hormuz_war,10,10,4,3,3,40.0,30.0,30.0,0.07393533515893021,0.17245931588396018,0.7365162815872915,False
BRENT_session,mcx_open_drive,7.0,sustained_major_reescalation_hormuz_war,10,10,0,3,7,0.0,30.0,70.0,-0.0987809975111135,-0.04357299477851649,0.31687517304752144,False
BRENT_session,mcx_tail,7.0,sustained_major_reescalation_hormuz_war,10,10,4,0,6,40.0,0.0,60.0,0.5382653265374588,0.2058655241347151,0.8912986840660481,False
BRENT_session,other_valid_hours,7.0,sustained_major_reescalation_hormuz_war,10,10,4,1,5,40.0,10.0,50.0,0.16654286626811915,0.009307059679008314,0.4303206626790074,False
BRENT_session,us_open,7.0,sustained_major_reescalation_hormuz_war,20,20,7,9,4,35.0,45.0,20.0,0.7825015858769213,-0.10076618507879032,3.689030262966538,False
BRENT_session,us_pre_open,7.0,sustained_major_reescalation_hormuz_war,10,10,7,3,0,70.0,30.0,0.0,1.3848994509427495,0.9558003819212559,4.525309809394652,False
BRENT_session,europe_midday,8.0,operational_pause_renewed_diplomacy,1,1,1,0,0,100.0,0.0,0.0,1.9127863770875626,1.9127863770875626,,True
BRENT_session,global_reopen_pre_mcx,8.0,operational_pause_renewed_diplomacy,1,1,1,0,0,100.0,0.0,0.0,1.2763152540161107,1.2763152540161107,,True
BRENT_session,india_midday,8.0,operational_pause_renewed_diplomacy,1,1,0,1,0,0.0,100.0,0.0,-2.5324878494905603,-2.5324878494905603,,True
BRENT_session,india_morning,8.0,operational_pause_renewed_diplomacy,1,1,0,1,0,0.0,100.0,0.0,-2.3664787721687266,-2.3664787721687266,,True
BRENT_session,mcx_open_drive,8.0,operational_pause_renewed_diplomacy,1,1,0,1,0,0.0,100.0,0.0,-0.496598395397235,-0.496598395397235,,True
BRENT_session,mcx_tail,8.0,operational_pause_renewed_diplomacy,1,1,0,1,0,0.0,100.0,0.0,-0.6411059459403041,-0.6411059459403041,,True
BRENT_session,other_valid_hours,8.0,operational_pause_renewed_diplomacy,1,1,0,1,0,0.0,100.0,0.0,-0.8032572518382985,-0.8032572518382985,,True
BRENT_session,us_open,8.0,operational_pause_renewed_diplomacy,2,2,0,2,0,0.0,100.0,0.0,-0.684961920527446,-0.684961920527446,0.011329058651223953,True
BRENT_session,us_pre_open,8.0,operational_pause_renewed_diplomacy,1,1,1,0,0,100.0,0.0,0.0,0.5805477858654617,0.5805477858654617,,True
BRENT_session,europe_midday,9.0,ceasefire_pause_breakdown_renewed_escalation,4,4,3,1,0,75.0,25.0,0.0,0.3225428507472351,0.8835899506301981,1.4504939399425243,True
BRENT_session,global_reopen_pre_mcx,9.0,ceasefire_pause_breakdown_renewed_escalation,4,4,1,3,0,25.0,75.0,0.0,-0.1593081531254371,-1.0754899283944972,2.1163930771415185,True
BRENT_session,india_midday,9.0,ceasefire_pause_breakdown_renewed_escalation,4,4,1,1,2,25.0,25.0,50.0,-0.061573586438522065,-0.04728474978487565,1.5470278545427967,True
BRENT_session,india_morning,9.0,ceasefire_pause_breakdown_renewed_escalation,4,4,2,1,1,50.0,25.0,25.0,0.501556846711154,0.17194340714709397,1.7967461537382834,True
BRENT_session,mcx_open_drive,9.0,ceasefire_pause_breakdown_renewed_escalation,4,4,1,1,2,25.0,25.0,50.0,-0.0220759179825029,-0.005730797218794234,0.30475913773863206,True
BRENT_session,mcx_tail,9.0,ceasefire_pause_breakdown_renewed_escalation,4,4,1,1,2,25.0,25.0,50.0,0.047727136906161136,0.04756917200741104,0.3067825811581921,True
BRENT_session,other_valid_hours,9.0,ceasefire_pause_breakdown_renewed_escalation,3,3,1,2,0,33.33333333333333,66.66666666666666,0.0,-0.09929071038524344,-0.3631581600232762,0.5354764303227163,True
BRENT_session,us_open,9.0,ceasefire_pause_breakdown_renewed_escalation,8,8,1,3,4,12.5,37.5,50.0,-0.40419641807878437,-0.1663888495614939,0.7682509319709233,False
BRENT_session,us_pre_open,9.0,ceasefire_pause_breakdown_renewed_escalation,4,4,1,2,1,25.0,50.0,25.0,0.3384796795409301,-0.18244036077060027,1.483066492001072,True
BRENT_session,europe_midday,10.0,second_deescalation_active_negotiation_hormuz_deal,9,9,3,5,1,33.33333333333333,55.55555555555556,11.11111111111111,-1.039913701653933,-0.5467856176464603,2.1684545308724545,False
BRENT_session,global_reopen_pre_mcx,10.0,second_deescalation_active_negotiation_hormuz_deal,8,8,2,3,3,25.0,37.5,37.5,0.07373034019339923,0.02438387606447784,0.652179381913839,False
BRENT_session,india_midday,10.0,second_deescalation_active_negotiation_hormuz_deal,9,9,5,3,1,55.55555555555556,33.33333333333333,11.11111111111111,0.3661223549993203,0.5023300645087743,1.2543766107475214,False
BRENT_session,india_morning,10.0,second_deescalation_active_negotiation_hormuz_deal,8,8,2,4,2,25.0,50.0,25.0,-0.033867825545814675,-0.28666431293284234,0.7782199059935879,False
BRENT_session,mcx_open_drive,10.0,second_deescalation_active_negotiation_hormuz_deal,8,8,4,3,1,50.0,37.5,12.5,0.11214287780287885,0.1827274957650306,0.44985588139896854,False
BRENT_session,mcx_tail,10.0,second_deescalation_active_negotiation_hormuz_deal,9,9,3,1,5,33.33333333333333,11.11111111111111,55.55555555555556,0.1825176383372003,0.27518033616199894,0.522247736664552,False
BRENT_session,other_valid_hours,10.0,second_deescalation_active_negotiation_hormuz_deal,8,8,0,3,5,0.0,37.5,62.5,-0.23322638341278007,-0.053357217116771175,0.37875117553220583,False
