stream,session_window_ist,phase_id,phase_label,magnitude_tier,count,pct,n_total,low_confidence_flag
BRENT_session,us_pre_open,7,sustained_major_reescalation_hormuz_war,Q5_90_100,2,20.0,10,False
BRENT_session,us_open,9,ceasefire_pause_breakdown_renewed_escalation,Q1_0_25,3,37.5,8,False
BRENT_session,us_open,9,ceasefire_pause_breakdown_renewed_escalation,Q2_25_50,2,25.0,8,False
BRENT_session,us_open,9,ceasefire_pause_breakdown_renewed_escalation,Q3_50_75,1,12.5,8,False
BRENT_session,us_open,9,ceasefire_pause_breakdown_renewed_escalation,Q4_75_90,1,12.5,8,False
BRENT_session,us_open,9,ceasefire_pause_breakdown_renewed_escalation,Q5_90_100,1,12.5,8,False
BRENT_session,europe_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,4,44.44444444444444,9,False
BRENT_session,europe_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,2,22.22222222222222,9,False
BRENT_session,europe_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,2,22.22222222222222,9,False
BRENT_session,europe_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,1,11.11111111111111,9,False
BRENT_session,global_reopen_pre_mcx,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,3,37.5,8,False
BRENT_session,global_reopen_pre_mcx,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,2,25.0,8,False
BRENT_session,global_reopen_pre_mcx,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,2,25.0,8,False
BRENT_session,global_reopen_pre_mcx,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,1,12.5,8,False
BRENT_session,india_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,4,44.44444444444444,9,False
BRENT_session,india_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,1,11.11111111111111,9,False
BRENT_session,india_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,2,22.22222222222222,9,False
BRENT_session,india_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,1,11.11111111111111,9,False
BRENT_session,india_midday,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,1,11.11111111111111,9,False
BRENT_session,india_morning,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,2,25.0,8,False
BRENT_session,india_morning,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,2,25.0,8,False
BRENT_session,india_morning,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,2,25.0,8,False
BRENT_session,india_morning,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,1,12.5,8,False
BRENT_session,india_morning,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,1,12.5,8,False
BRENT_session,mcx_open_drive,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,2,25.0,8,False
BRENT_session,mcx_open_drive,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,2,25.0,8,False
BRENT_session,mcx_open_drive,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,2,25.0,8,False
BRENT_session,mcx_open_drive,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,1,12.5,8,False
BRENT_session,mcx_open_drive,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,1,12.5,8,False
BRENT_session,mcx_tail,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,3,33.33333333333333,9,False
BRENT_session,mcx_tail,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,2,22.22222222222222,9,False
BRENT_session,mcx_tail,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,2,22.22222222222222,9,False
BRENT_session,mcx_tail,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,1,11.11111111111111,9,False
BRENT_session,mcx_tail,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,1,11.11111111111111,9,False
BRENT_session,other_valid_hours,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,2,28.57142857142857,7,False
BRENT_session,other_valid_hours,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,2,28.57142857142857,7,False
BRENT_session,other_valid_hours,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,1,14.285714285714285,7,False
BRENT_session,other_valid_hours,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,2,28.57142857142857,7,False
BRENT_session,us_open,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,4,22.22222222222222,18,False
BRENT_session,us_open,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,4,22.22222222222222,18,False
BRENT_session,us_open,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,5,27.77777777777778,18,False
BRENT_session,us_open,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,2,11.11111111111111,18,False
BRENT_session,us_open,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,3,16.666666666666664,18,False
BRENT_session,us_pre_open,10,second_deescalation_active_negotiation_hormuz_deal,Q1_0_25,2,22.22222222222222,9,False
BRENT_session,us_pre_open,10,second_deescalation_active_negotiation_hormuz_deal,Q2_25_50,2,22.22222222222222,9,False
BRENT_session,us_pre_open,10,second_deescalation_active_negotiation_hormuz_deal,Q3_50_75,2,22.22222222222222,9,False
BRENT_session,us_pre_open,10,second_deescalation_active_negotiation_hormuz_deal,Q4_75_90,2,22.22222222222222,9,False
BRENT_session,us_pre_open,10,second_deescalation_active_negotiation_hormuz_deal,Q5_90_100,1,11.11111111111111,9,False
WTI_session,asia_early,1,full_scale_war,Q1_0_25,2,18.181818181818183,11,False
WTI_session,asia_early,1,full_scale_war,Q2_25_50,3,27.27272727272727,11,False
WTI_session,asia_early,1,full_scale_war,Q3_50_75,1,9.090909090909092,11,False
WTI_session,asia_early,1,full_scale_war,Q4_75_90,3,27.27272727272727,11,False
WTI_session,asia_early,1,full_scale_war,Q5_90_100,2,18.181818181818183,11,False
WTI_session,europe_midday,1,full_scale_war,Q1_0_25,5,27.77777777777778,18,False
WTI_session,europe_midday,1,full_scale_war,Q2_25_50,3,16.666666666666664,18,False
WTI_session,europe_midday,1,full_scale_war,Q3_50_75,5,27.77777777777778,18,False
WTI_session,europe_midday,1,full_scale_war,Q4_75_90,3,16.666666666666664,18,False
WTI_session,europe_midday,1,full_scale_war,Q5_90_100,2,11.11111111111111,18,False
WTI_session,global_reopen_pre_mcx,1,full_scale_war,Q1_0_25,1,16.666666666666664,6,False
WTI_session,global_reopen_pre_mcx,1,full_scale_war,Q2_25_50,1,16.666666666666664,6,False
WTI_session,global_reopen_pre_mcx,1,full_scale_war,Q3_50_75,2,33.33333333333333,6,False
WTI_session,global_reopen_pre_mcx,1,full_scale_war,Q4_75_90,1,16.666666666666664,6,False
