stream,phase_id,phase_label,day_archetype,current_window,n_observations,top_next_window,pct_up_next,pct_down_next,pct_flat_next,low_confidence_flag,expectancy_raw,expectancy_shrunk,expectancy_shrunk_var,win_rate_raw,win_rate_shrunk,win_rate_shrunk_var
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,europe_midday,4,us_pre_open,75.0,25.0,0.0,True,0.5,0.11157024793388429,0.12351865810261756,0.75,0.43767217630853994,0.042844144370252565
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,global_reopen_pre_mcx,4,mcx_open_drive,25.0,25.0,50.0,True,0.0,0.02823691460055096,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,india_midday,4,europe_midday,50.0,50.0,0.0,True,0.0,0.02823691460055096,0.12351865810261756,0.5,0.39600550964187325,0.042844144370252565
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,india_morning,4,india_midday,50.0,25.0,25.0,True,0.25,0.06990358126721763,0.12351865810261756,0.5,0.39600550964187325,0.042844144370252565
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,mcx_open_drive,4,india_morning,25.0,25.0,50.0,True,0.0,0.02823691460055096,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,mcx_tail,4,other_valid_hours,25.0,50.0,25.0,True,-0.25,-0.0134297520661157,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,us_open,8,mcx_tail,37.5,25.0,37.5,False,0.125,0.05991735537190082,0.10587313551652933,0.375,0.37514757969303425,0.03672355231735935
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,us_pre_open,4,us_open,0.0,50.0,50.0,True,-0.5,-0.055096418732782364,0.12351865810261756,0.0,0.31267217630853994,0.042844144370252565
BRENT_session,6.0,ceasefire_collapse_renewed_escalation,whipsaw_two_sided,us_open,4,mcx_tail,0.0,25.0,75.0,True,-0.25,-0.0134297520661157,0.12351865810261756,0.0,0.31267217630853994,0.042844144370252565
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,all_day_trend_up,us_open,4,mcx_tail,25.0,0.0,75.0,True,0.25,0.06990358126721763,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
