stream,phase_id,phase_label,day_archetype,current_window,top_next_window,n_observations,freq_up,freq_down,freq_flat,bayes_mean_up,bayes_mean_down,bayes_mean_flat,hdi_up_lower,hdi_up_upper,hdi_down_lower,hdi_down_upper,hdi_flat_lower,hdi_flat_upper,bayes_n_eff
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,us_pre_open,us_open,4,75.0,25.0,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.22850000743892646,0.9143571354182163,0.0,0.5987638025642563,0.0,0.38534425591678567,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,mixed_regime,us_open,mcx_tail,4,50.0,25.0,25.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0856428645817836,0.7714999925610735,0.0,0.5987638025642563,0.0,0.5987638025642563,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,europe_midday,us_pre_open,5,40.0,40.0,20.0,0.375,0.375,0.25,0.058706360059727625,0.6912936399402724,0.058706360059727625,0.6912936399402724,0.0,0.5329016319029166,8.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,global_reopen_pre_mcx,mcx_open_drive,4,25.0,25.0,50.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5987638025642563,0.0,0.5987638025642563,0.0856428645817836,0.7714999925610735,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,india_midday,europe_midday,5,20.0,60.0,20.0,0.25,0.5,0.25,0.0,0.5329016319029166,0.17333333333333334,0.8266666666666667,0.0,0.5329016319029166,8.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,india_morning,india_midday,4,50.0,25.0,25.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0856428645817836,0.7714999925610735,0.0,0.5987638025642563,0.0,0.5987638025642563,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,mcx_open_drive,india_morning,4,25.0,0.0,75.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.5987638025642563,0.0,0.38534425591678567,0.22850000743892646,0.9143571354182163,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,mcx_tail,other_valid_hours,4,25.0,25.0,50.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5987638025642563,0.0,0.5987638025642563,0.0856428645817836,0.7714999925610735,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,us_open,mcx_tail,10,50.0,30.0,20.0,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.200398493628077,0.7226784294488462,0.06592367654691458,0.5494609388377009,0.010065675810100982,0.4514727857283606,13.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,us_pre_open,us_open,5,40.0,40.0,20.0,0.375,0.375,0.25,0.058706360059727625,0.6912936399402724,0.058706360059727625,0.6912936399402724,0.0,0.5329016319029166,8.0
WTI_session,1.0,full_scale_war,all_day_trend_down,us_open,other_valid_hours,4,0.0,100.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.38534425591678567,0.40123619743574374,1.0,0.0,0.38534425591678567,7.0
WTI_session,1.0,full_scale_war,all_day_trend_up,asia_early,us_late,3,66.66666666666666,0.0,33.33333333333333,0.3333333333333333,0.16666666666666666,0.5,0.0,0.6825546894322345,0.0,0.4427503898779821,0.12959481645095733,0.8704051835490427,6.0
WTI_session,1.0,full_scale_war,all_day_trend_up,europe_midday,us_pre_open,4,100.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.40123619743574374,1.0,0.0,0.38534425591678567,0.0,0.38534425591678567,7.0
WTI_session,1.0,full_scale_war,all_day_trend_up,us_late,europe_midday,3,33.33333333333333,66.66666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.4427503898779821,0.0,0.6825546894322345,0.12959481645095733,0.8704051835490427,6.0
WTI_session,1.0,full_scale_war,all_day_trend_up,us_open,us_open,8,62.5,25.0,12.5,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.2637243539122716,0.8271847369968193,0.020740128886248488,0.5247144165682969,0.0,0.40004544981159224,11.0
WTI_session,1.0,full_scale_war,all_day_trend_up,us_pre_open,us_open,4,100.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.40123619743574374,1.0,0.0,0.38534425591678567,0.0,0.38534425591678567,7.0
WTI_session,1.0,full_scale_war,mixed_regime,europe_midday,us_pre_open,4,0.0,25.0,75.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.38534425591678567,0.0,0.5987638025642563,0.22850000743892646,0.9143571354182163,7.0
